Dataset,Feature,Model,Accuracy,Precision,Recall,F1-Score,Execution_Time
librispeech,text,Logistic Regression,0.5085227272727273,0.5328071065240247,0.5085227272727273,0.5067305618988747,4.790738344192505
librispeech,text,Multinomial Naive Bayes,0.4772727272727273,0.5478762570799671,0.4772727272727273,0.4612773199378514,0.018004417419433594
librispeech,text,Decision Tree Classifier,0.2755681818181818,0.2766478909457106,0.2755681818181818,0.2692171772523867,1.7070252895355225
librispeech,text,Random Forest,0.42613636363636365,0.4586905153835829,0.42613636363636365,0.42055726347193717,10.237102508544922
librispeech,text,SGD SVM,0.4659090909090909,0.4903807981327199,0.4659090909090909,0.45838190185934363,0.24970102310180664
librispeech,text,SGD LogReg,0.5085227272727273,0.5527650964231847,0.5085227272727273,0.5104278828595668,0.29607057571411133
librispeech,DSU,Logistic Regression,0.9176136363636364,0.9245571588499218,0.9176136363636364,0.9181214318212984,8.297477006912231
librispeech,DSU,Multinomial Naive Bayes,0.9630681818181818,0.9643027821294866,0.9630681818181818,0.9623803372164172,0.03599882125854492
librispeech,DSU,Decision Tree Classifier,0.7755681818181818,0.7825468231634676,0.7755681818181818,0.7749615846864489,2.1138811111450195
librispeech,DSU,Random Forest,0.9232954545454546,0.9326962809917355,0.9232954545454546,0.9227777214602688,12.029003858566284
librispeech,DSU,SGD SVM,0.9318181818181818,0.9362055597495939,0.9318181818181818,0.9314617418268433,0.8910539150238037
librispeech,DSU,SGD LogReg,0.9403409090909091,0.946592257870249,0.9403409090909091,0.940282466792943,1.6899871826171875
librispeech,DSU_deduplicated,Logistic Regression,0.9318181818181818,0.9352987336861,0.9318181818181818,0.9312782037349834,2.655459403991699
librispeech,DSU_deduplicated,Multinomial Naive Bayes,0.9630681818181818,0.9648173007548007,0.9630681818181818,0.9625222231472232,0.03299689292907715
librispeech,DSU_deduplicated,Decision Tree Classifier,0.7954545454545454,0.8037275340709499,0.7954545454545454,0.7952163073715783,1.9640252590179443
librispeech,DSU_deduplicated,Random Forest,0.9318181818181818,0.9400588446641077,0.9318181818181818,0.9310368911423897,11.667997121810913
librispeech,DSU_deduplicated,SGD SVM,0.9375,0.9431518338687455,0.9375,0.9374789825645184,0.8169991970062256
librispeech,DSU_deduplicated,SGD LogReg,0.9403409090909091,0.9476341775055009,0.9403409090909091,0.9402700541109597,1.3405513763427734
vctk,text,Logistic Regression,0.005253940455341506,0.0053744720304934575,0.005253940455341506,0.005259752895479691,1.7987127304077148
vctk,text,Multinomial Naive Bayes,0.005253940455341506,0.006312611017978279,0.005253940455341506,0.005615028584340573,0.02402949333190918
vctk,text,Decision Tree Classifier,0.0,0.0,0.0,0.0,0.9560379981994629
vctk,text,Random Forest,0.0,0.0,0.0,0.0,70.64500331878662
vctk,text,SGD SVM,0.0070052539404553416,0.008653156534067218,0.0070052539404553416,0.007029883912545911,0.4280414581298828
vctk,text,SGD LogReg,0.0017513134851138354,0.002101576182136602,0.0017513134851138354,0.0019105238019423657,0.8050062656402588
vctk,DSU,Logistic Regression,0.7705779334500875,0.7723842470595033,0.7705779334500875,0.7680096838945888,4.046544075012207
vctk,DSU,Multinomial Naive Bayes,0.6094570928196147,0.6211633026831057,0.6094570928196147,0.6061947189972948,0.047036170959472656
vctk,DSU,Decision Tree Classifier,0.3975481611208406,0.3956724477990413,0.3975481611208406,0.39278219652849294,7.212338447570801
vctk,DSU,Random Forest,0.6147110332749562,0.6260107815535532,0.6147110332749562,0.6067789127524749,26.8049099445343
vctk,DSU,SGD SVM,0.7302977232924693,0.7399885576631156,0.7302977232924693,0.729096000332201,1.9280180931091309
vctk,DSU,SGD LogReg,0.7548161120840631,0.7613513525165371,0.7548161120840631,0.7533954208417128,2.3310418128967285
vctk,DSU_deduplicated,Logistic Regression,0.7600700525394045,0.7639450982764944,0.7600700525394045,0.7570860127122395,3.8097152709960938
vctk,DSU_deduplicated,Multinomial Naive Bayes,0.670753064798599,0.676828600852501,0.670753064798599,0.6678707141609105,0.048940181732177734
vctk,DSU_deduplicated,Decision Tree Classifier,0.38178633975481613,0.3939558864280414,0.38178633975481613,0.38275701105515214,6.403029918670654
vctk,DSU_deduplicated,Random Forest,0.6199649737302977,0.6222364332272212,0.6199649737302977,0.6122959239947366,26.59082531929016
vctk,DSU_deduplicated,SGD SVM,0.7197898423817863,0.7249945724149917,0.7197898423817863,0.7171578452327476,1.7758874893188477
vctk,DSU_deduplicated,SGD LogReg,0.7285464098073555,0.738446935129249,0.7285464098073555,0.7281118609435197,1.9420342445373535
